uuid,Keywords,label
432,COVID-19 Vaccine Could Trigger the Relapse of Secondary Hypersomnia,1
433,"Spectacles of Settler Colonial Memory: Archaeological Findings from an Early Twentieth-Century ""First"" Settlement Pageant and Other Commemorative Terrain in New England",0
434,"Analyzing the association between innovation, economic growth, and environment: divulging the importance of FDI and trade openness in India",1
435,Spatial econometric analysis of foreign direct investment and carbon productivity in China: Two-tier moderating roles of industrialization development,1
436,"Introducing Power-to-H3: Combining renewable electricity with heat, water and hydrogen production and storage in a neighbourhood",0
437,Talking About Childhood Obesity,1
438,Piscine mycobacteriosis in the ornamental fish trade in Trinidad and Tobago,1
439,Environmental and economic evaluation of remanufacturing lithium-ion batteries from electric vehicles,0
440,Indirect effects of COVID-19 on the environment,0
441,Reaction of Arterial and Venous Branches of the Broad Ligament of the Rat Uterus to Low-Intensity Red Laser Irradiation,1
442,CO2 emission in transportation sector across 51 countries along the Belt and Road from 2000 to 2014,0
443,Growth charts for Mexican children with Down syndrome,1
444,A life cycle cost model for floating offshore wind farms,0
445,Mining is bad for health: a voyage of discovery,1
446,Design and comparative exergy and exergo-economic analyses of a novel integrated Kalina cycle improved with fuel cell and thermoelectric module,1
447,"A new glimpse on the active site of SARS-CoV-2 3CLpro, coupled with drug repurposing study",1
448,"Identifying stakeholders and discussing a strategy for the participatory management of a protected area: the case of Engenho Pequeno, in Rio de Janeiro State, Brazil",0
449,"The Effects of β-Pinene, a Pine Needle Oil Monoterpene, on Adenovirus Type 3",1
450,Household-based critical influence factors of biogas generation technology utilization: A case of Punjab province of Pakistan,0
451,Surface Electrostatics Govern the Emulsion Stability of Biomolecular Condensates,1
452,"Measuring environmental policy stringency: Approaches, validity, and impact on environmental innovation and energy efficiency",0
453,Antihypertensive and cardioprotective effects of different monotherapies and combination therapies in young spontaneously hypertensive rats - A pilot study,1
454,"Impact Assessment of COVID-19 on Variations of SO2, NO2, CO and AOD over East China",0
455,Acute hemorrhage and death in calves following chlorophacinone exposure,1
456,Responding to the Essential Sexual and Reproductive Health Needs for Women During the COVID-19 Pandemic: A Literature Review,1
457,Will income inequality influence the abatement effect of renewable energy technological innovation on carbon dioxide emissions?,1
458,A systematic decision -making approach for planning and assessment of hybrid renewable energy -based microgrid with techno-economic optimization: A case study on an urban community in Egypt,0
459,Assessment of flash flood risk based on improved analytic hierarchy process method and integrated maximum likelihood clustering algorithm,0
460,The moderating role of energy consumption in the carbon emissions-income nexus in middle-income countries,1
461,"Heterologous expression, characterization and evolution prediction of a diaphorase from Geobacillus sp. Y4.1MC1",1
462,Analysis of microplastics in a remote region of the Tibetan Plateau: Implications for natural environmental response to human activities,0
463,"Factors affecting household food waste among young consumers and actions to prevent it. A comparison among UK, Spain and Italy",1
464,"The impacts of globalization, financial development, government expenditures, and institutional quality on CO2 emissions in the presence of environmental Kuznets curve",1
465,The Sources of Political Normativity: the Case for Instrumental and Epistemic Normativity in Political Realism,1
466,Renewable hydrogen production: A techno-economic comparison of photoelectrochemical cells and photovoltaic-electrolysis,0
467,COVID-19 outbreak and the role of digital twin,0
468,Recycled aggregates from construction and demolition wastes as alternative filling materials for highway subgrades in China,0
469,Systematic reinstatement of highly sacred Ficuskrishnae based on differences in morphology and DNA barcoding from Ficusbenghalensis (Moraceae),1
470,Copy number variation of GAL3ST1 gene is associated with growth traits of Chinese cattle,1
471,Managing the water-energy-food nexus in China by adjusting critical final demands and supply chains: An input-output analysis,0
472,The genes for sensory perception of sound should be considered in gene diagnosis of congenital sensorineural hearing loss and microtia,1
473,﻿On the identity of Thymushumifususvar.aureopunctatus (Lamiaceae) and taxonomic notes on the Th.richardii complex,0
474,A New Socio-economic Indicator to Measure the Performance of Bioeconomy Sectors in Europe,0
475,"Assessment of Energy Systems Using Extended Fuzzy AHP, Fuzzy VIKOR, and TOPSIS Approaches to Manage Non-Cooperative Opinions",0
476,Carbon inequality and economic development across the Belt and Road regions,1
477,Sustainable circular supplier selection: A novel hybrid approach,0
478,How Does Firm ESG Performance Impact Financial Constraints? An Experimental Exploration of the COVID-19 Pandemic,1
479,A new composite climate change vulnerability index,1
480,"Assessment of city sustainability-Coupling coordinated development among economy, society and environment",0
481,The COVID-19 impact on air condition usage: a shift towards residential energy saving,0
482,Sustained Ranavirus Outbreak Causes Mass Mortality and Morbidity of Imperiled Amphibians in Florida,1
483,The assessment of forest ecological security and its determining indicators: A case study of the Yangtze River Economic Belt in China,0
484,Knee symptoms do not affect walking biomechanics among women 6 months after anterior cruciate ligament reconstruction,1
485,"Driving factors of total carbon emissions from the construction industry in Jiangsu Province, China",0
486,"Status, characterization, and potential utilization of municipal solid waste as renewable energy source: Lahore case study in Pakistan",1
487,"﻿ Dipterisshenzhenensis, a new endangered species of Dipteridaceae from Shenzhen, southern China",1
488,Modelling water yield with the InVEST model in a data scarce region of northwest China,1
489,"Production, purification and characterization of a novel antithrombotic and anticoagulant serine protease from food grade microorganism Neurospora crassa",1
490,The changing landscape of relapsed and/or refractory multiple myeloma (MM): fundamentals and controversies,1
491,The impact of energy price on CO2 emissions in China: A spatial econometric analysis,0
492,"Analysis on the carbon emission peaks of China's industrial, building, transport, and agricultural sectors",0
493,PCM integrated glass in glass tube solar collector for low and medium temperature applications: Thermodynamic & techno-economic approach,0
494,Co-Occurrence of Reading and Writing Difficulties: The Application of the Interactive Dynamic Literacy Model,1
495,Comprehensive Management of Cardiovascular Risk Factors for Adults With Type 2 Diabetes: A Scientific Statement From the American Heart Association,1
496,Risk management in distributed wind energy implementing Analytic Hierarchy Process,0
497,Optimization of the utilization of deep borehole heat exchangers,0
498,Incorporating synthetic aperture radar and optical images to investigate the annual dynamics of anthropogenic impervious surface at large scale,0
499,Exploring the effect of economic and environment factors on PM2.5 concentration: A case study of the Beijing-Tianjin-Hebei region,0
500,"The dynamics of dominance: open questions, challenges and solutions",0
501,Influence of Scion/Rootstock reciprocal effects on post-harvest and metabolomics regulation in stored peaches,1
502,Effects of urban forms on CO2 emissions in China from a multi-perspective analysis,1
503,Static and dynamic cultivated land use efficiency in China: A minimum distance to strong efficient frontier approach,0
504,Analysis of mutations in leu tRNA gene in patients of heart diseases,1
505,Carbon sequestration potential of forest vegetation in China from 2003 to 2050: Predicting forest vegetation growth based on climate and the environment,1
506,A novel composite silver nanoparticles loaded calcium oxide stemming from egg shell recycling: A potent photocatalytic and antibacterial activities,1
507,Connectivity-informed adaptive regularization for generalized outcomes,0
508,Primary concentration - The critical step in implementing the wastewater based epidemiology for the COVID-19 pandemic: A mini-review,0
509,Cardiovascular Risk Factors and Phenoconversion to Neurodegenerative Synucleinopathies in Idiopathic REM Sleep Behavior Disorder,1
510,Techno-economic analysis of combining forward osmosis-reverse osmosis and anaerobic membrane bioreactor technologies for municipal wastewater treatment and water production,1
511,"How agriculture, manufacture, and urbanization induced carbon emission? The case of Indonesia",1
512,"Ecological, economical and technological perspectives based sustainability assessment in hybrid-cooling assisted machining of Ti-6Al-4 V alloy",0
513,Air Quality during COVID-19 in Four Megacities: Lessons and Challenges for Public Health,1
514,China's pilot emissions trading schemes and competitiveness: An empirical analysis of the provincial industrial sub-sectors,1
515,"Effect of land-use change and optimization on the ecosystem service values of Jiangsu province, China",1
516,Inflammation and the Link to Vascular Brain Health: Timing Is Brain,1
517,Experimental evaluation on fiber distribution characteristics and mechanical properties of calcium carbonate whisker modified hybrid fibers reinforced cementitious composites,0
518,Analytical and pharmacological consequences of the in vivo deamidation of trastuzumab and pertuzumab,1
519,Effects of Eco-Innovation on Economic and Environmental Performance: Evidence from Turkey's Manufacturing Companies,0
520,Effect of using mineral admixtures and ceramic wastes as coarse aggregates on properties of ultrahigh-performance concrete,0
521,"Growth performance, haematological assessment and chemical composition of Nile tilapia, Oreochromis niloticus (Linnaeus, 1758) fed different levels of Aloe vera extract as feed additives in a closed aquaculture system",1
522,Stem cell transplantation as a progressing treatment for retinitis pigmentosa,1
523,"Evaluating the impact of multi-carrier energy storage systems in optimal operation of integrated electricity, gas and district heating networks",0
524,In-vivo two-photon visualization and quantitative detection of redox state of cancer,1
525,Hopf bifurcation in delayed nutrient-microorganism model with network structure,0
526,"""Let them know it's okay to get help"": Addressing the Mental Health Needs of Police Officers",0
527,"Renewable energy, economic development, and ecological footprint nexus: fresh evidence of renewable energy environment Kuznets curve (RKC) from income groups",1
528,Stochastic optimal sizing of distributed energy resources for a cost-effective and resilient Microgrid,0
529,Cost benefits of optimizing hydrogen storage and methanation capacities for Power-to-Gas plants in dynamic operation,0
530,"Modeling heterogeneous dynamic interactions among energy investment, SO2 emissions and economic performance in regional China",1
531,Enhancement of pyramid-shaped solar stills performance using a high thermal conductivity absorber plate and cooling the glass cover,0
532,Drug delivery systems of CoFe2O4/chitosan and MnFe2O4/chitosan magnetic composites,1
533,Measuring dominance certainty and assessing its impact on individual and societal health in a nonhuman primate model: a network approach,1
534,A favorable path to domain separation in the orange carotenoid protein,1
535,Genetic parameters estimation for some wild wheat species and their F1 hybrids grown in different regions of Saudi Arabia,1
536,One-step hydrothermal synthesis of magnetic rice straw for effective lipase immobilization and its application in esterification reaction,1
537,Assessment of COVID-19 Waste Flows During the Emergency State in Romania and Related Public Health and Environmental Concerns,1
538,COVID-19 Impacts and Recovery Strategies: The Case of the Hospitality Industry in Spain,0
539,"Indoleamine 2,3-Dioxygenase-1 Expression is Changed During Bladder Cancer Cell Invasion",1
540,Simultaneous Ammonium oxidation denitrifying (SAD) in an innovative three-stage process for energy-efficient mature landfill leachate treatment with external sludge reduction,1
541,Current state and barriers to the circular economy in the building sector: Towards a mitigation framework,0
542,"Post-conflict development, reviewing the water sector in Somalia",0
543,Environmental implications of increased US oil production and liberal growth agenda in post -Paris Agreement era,1
544,System design and feasibility of trigeneration systems with hybrid photovoltaic-thermal (PVT) collectors for zero energy office buildings in different climates,0
545,Current views in chronic obstructive pulmonary disease pathogenesis and management,1
546,Leakage detection techniques for oil and gas pipelines: State-of-the-art,0
547,Understanding global PM2.5 concentrations and their drivers in recent decades (1998-2016),1
548,Effects of two training programs on health variables in adults with chronic low back pain: a randomized clinical trial,1
549,Economic and environmental assessment of solar-wind-biomass hybrid renewable energy system supplying rural settlement load,0
550,"Isatis phytogenic relieved atrazine induced growth retardation, hepato-renal dysfunction, and oxidative stress in Nile tilapia",1
551,Can indoor sports centers be allowed to re-open during the COVID-19 pandemic based on a certificate of equivalence?,1
552,Role of institutions in correcting environmental pollution: An empirical investigation,0
553,Global declines in human-driven mangrove loss,1
554,Potassium distribution and isotope composition in the lithospheric mantle in relation to global Earth's reservoirs,1
555,Do Real Output and Renewable Energy Consumption Affect CO2 Emissions? Evidence for Selected BRICS Countries,0
556,Taxifolin improves inflammatory injury of human bronchial epithelial cells by inhibiting matrix metalloproteinase (MMP) 10 via Wnt/β-catenin pathway,1
557,Water-energy scarcity nexus risk in the national trade system based on multiregional input-output and network environ analyses,1
558,Biosorption performance of date palm empty fruit bunch wastes for toxic hexavalent chromium removal,1
559,Dominance in humans,1
560,How to transition to reduced-meat diets that benefit people and the planet,0
561,A New Direction for Closed-Loop Spinal Cord Stimulation: Combining Contemporary Therapy Paradigms with Evoked Compound Action Potential Sensing,1
562,EU bioenergy development to 2050,1
563,Distinct mutations and lineages of SARS-CoV-2 virus in the early phase of COVID-19 pandemic and subsequent 1-year global expansion,1
564,Prehospital Noninvasive Ventilation: An NAEMSP Position Statement and Resource Document,1
565,Antiparasitic Derivatives of the Furoquinoline Alkaloids Kokusaginine And Flindersiamine,1
566,Systems consolidation and fear memory generalisation as a potential target for trauma-related disorders,1
567,Efficiency of grey wolf optimization algorithm for damage detection of skeletal structures via expanded mode shapes,0
568,The effect of China's pilot carbon emissions trading schemes on poverty alleviation: A quasi-natural experiment approach,1
569,The Association Between Bullying Victimization and Fighting in School Among US High School Students,1
570,Linear IGA bullous dermatosis potentially triggered by vaccination,1
571,Impact of financial development on CO2 emissions: A comparative analysis of developing countries (D-8) and developed countries (G(8)),0
572,Sustainable energy planning for cost minimization of autonomous hybrid microgrid using combined multi-objective optimization algorithm,0
573,Effects of urbanization on energy efficiency in China: New evidence from short run and long run efficiency models,0
574,"Primary cutaneous CD8+ cytotoxic T-cell lymphoma of the face with intraoral involvement, resulting in facial nerve palsy after chemotherapy",1
575,Earth observation-based ecosystem services indicators for national and subnational reporting of the sustainable development goals,1
576,Anaesthesia for mechanical thrombectomy: a narrative review,1
577,"﻿Gems of the southern Japanese seas - four new species of Edwardsianthus (Anthozoa, Actiniaria, Edwardsiidae) with redescriptions of two species",1
578,Puberty enables oestradiol-induced progesterone synthesis in female mouse hypothalamic astrocytes,1
579,Deceased donor kidneys allocated out of sequence by organ procurement organizations,1
580,Clinical Evaluation of Ramucirumab for the Treatment of Hepatocellular Carcinoma (HCC): Place in Therapy,1
581,The impact of low-carbon city construction on ecological efficiency: Empirical evidence from quasi-natural experiments,0
582,Analyzing technology-emissions association in Top-10 polluted MENA countries: How to ascertain sustainable development by quantile modeling approach,1
583,Sustainable Business Model Based on Digital Twin Platform Network: The Inspiration from Haier's Case Study in China,0
584,Microstructure of synthetic composite interfaces and verification of mixing order in cold-recycled asphalt emulsion mixture,0
585,"Immigration, Criminal Involvement, and Violence in the U.S.: Results from the National Epidemiologic Survey on Alcohol and Related Conditions-III",0
586,Research on coupling degree and coupling path between China's carbon emission efficiency and industrial structure upgrading,1
587,Structural and functional properties of a magnesium transporter of the SLC11/NRAMP family,1
588,Oil supply risk and affecting parameters associated with oil supplementation and disruption,0
589,"Cognitive-affective responses to online positive-psychological interventions: The effects of optimistic, grateful, and self-compassionate writing",1
590,"﻿ Viciamingyueshanensis (Fabeae, Papilionoideae, Fabaceae), a new species from western Jiangxi, China",1
591,A possible theranostic approach of chitosan-coated iron oxide nanoparticles against human colorectal carcinoma (HCT-116) cell line,1
592,"A research on coordination between economy, society and environment in China: A case study of Jiangsu",0
593,The build-up of dominance hierarchies in eusocial insects,1
594,Anti-salmonella properties of kefir yeast isolates : An in vitro screening for potential infection control,1
595,Calcium supplementation for the prevention of hypertensive disorders of pregnancy: current evidence and programmatic considerations,1
596,Enhanced lung image segmentation using deep learning,0
597,Management of Fused Anterior Teeth: Review and Clinical Report,1
598,Evaluation of rheological behaviors and anti-aging properties of recycled asphalts using low-viscosity asphalt and polymers,1
599,Multifunctional inorganic nanomaterials for cancer photoimmunotherapy,1
600,Effect of Foliage Dressing in Nano-Potassium Molybdate on Daily Gain and Antioxidant Function in Grazing the Chinese Merino Sheep,1
601,Climate Change and Infections on the Move in North America,1
602,A bi-level market-clearing for coordinated regional-local multi-carrier systems in presence of energy storage technologies,0
603,"Governance, CO2 emissions and inclusive human development in sub-Saharan Africa",1
604,Forecasting carbon futures price: a hybrid method incorporating fuzzy entropy and extreme learning machine,0
605,The urinary exosomes derived from premature infants attenuate cisplatin-induced acute kidney injury in mice via microRNA-30a-5p/ mitogen-activated protein kinase 8 (MAPK8),1
606,Anti-inflammatory cytokines in sickle cell disease,1
607,DomArchive: a century of published dominance data,0
608,Up-regulation of caveolin 1 mediated by chitosan activates Wnt/ β-catenin pathway in chronic refractory wound diabetic rat model,1
609,"Technical, economic and environmental assessement of bioethanol biorefinery from waste biomass",0
610,"Determination of experimental domain factors of polyphenols, phenolic acids and flavonoids of lemon (Citrus limon) peel using two-level factorial design",1
611,Development of wind energy market in the European Union,0
612,"Spatiotemporal dynamics of ecosystem services provision in a degraded ecosystem: A systematic assessment in the Lake Urmia basin, Iran",0
613,Between Justice and Money: How the Covid-19 Crisis was used to De-Differentiate Legality in Ecuador,0
614,Multi-objective techno-economic-environmental optimisation of electric vehicle for energy services,0
615,Novel Technologies and Techniques for Prehospital Airway Management: An NAEMSP Position Statement and Resource Document,1
616,Can industrial agglomeration promote pollution agglomeration? Evidence from China,0
617,"Energy, exergy, environmental, and economic analysis of natural and forced cooling of solar still with porous media",1
618,The Effect on Venous Congestion of Diverting Arterial Flow in the Arterialized Venous Flap,1
619,Vaspin attenuates steatosis-induced fibrosis via GRP78 receptor by targeting AMPK signaling pathway,1
620,Total Synthesis of Oxepin and Dihydrooxepin Containing Natural Products,1
621,Behavioural and physiological plasticity in social hierarchies,1
622,Safinamide protects against amyloid β (Aβ)-induced oxidative stress and cellular senescence in M17 neuronal cells,1
623,Anti-SARS-CoV-2 spike protein and neutralizing antibodies at 1 and 3 months after three doses of SARS-CoV-2 vaccine in a large cohort of solid organ transplant patients,1
624,Decoupling and decomposition analysis of industrial sulfur dioxide emissions from the industrial economy in 30 Chinese provinces,1
625,Impact of ex vivo lung perfusion on brain-dead donor lung utilization: The French experience,1
626,Common but differentiated leadership: strategies and challenges for carbon neutrality by 2050 across industrialized economies,1
627,The impact of R&D expenditures on CO2 emissions: Evidence from sixteen OECD countries,0
628,"H-2-based synthetic fuels: A techno-economic comparison of alcohol, ether and hydrocarbon production",0
629,The importance of renewable energy consumption and FDI inflows in reducing environmental degradation: Bootstrap ARDL bound test in selected 9 countries,0
630,Emergence of size-structured dominance hierarchies through size-dependent feedback,1
631,After-effects of acute footshock stress on sleep states and rhythmic masticatory muscle activity during sleep in guinea pigs,1
632,CircABCC1 promotes the development of glioma by sponging miR-591 and modulating high-mobility group A2,1
633,A tale of three paradigms: Realising the revolutionary potential of ecological economics,0
634,Biodiversity and vector-borne diseases: Host dilution and vector amplification occur simultaneously for Amazonian leishmaniases,1
635,A systematic review on active sites and functions of PIM-1 protein,1
636,Clostridioides difficile Infection in Patients with Inflammatory Bowel Disease May be Favoured by the Effects of Proinflammatory Cytokines on the Enteroglial Network,1
637,Optimization and dynamic techno-economic analysis of a novel PVT-based smart building energy system,0
638,"Circ_0017639 facilitates proliferative, migratory, and invasive potential of non-small cell lung cancer (NSCLC) cells via PI3K/AKT signaling pathway",1
639,Sinonasal Plasmablastic Lymphoma Arising in the Setting of Recurrent Nasal Polyposis in an Immunocompetent Individual,1
640,A selective disassembly multi-objective optimization approach for adaptive reuse of building components,0
641,"Dynamical analysis of coronavirus disease with crowding effect, and vaccination: a study of third strain",0
642,Removal of heavy metals from wastewater using agricultural byproducts,1
643,Distributed energy systems as common goods: Socio-political acceptance of renewables in intelligent microgrids,0
644,Comparative study on asphalt pavement rut based on analytical models and test data,1
645,Testing for cirrhosis,1
646,A novel energy-economic-environmental multi-criteria decision-making in the optimization of a hybrid renewable system,0
647,Crosschecking teachers' perspectives on learning in a one-to-one environment with their actual classroom behavior - a longitudinal study,0
648,Residential carbon emission embedded in China's inter-provincial population migration,1
649,The impact of foreign direct investment on urban PM2.5 pollution in China,1
650,Bacterial driver-passenger model in biofilms: a new mechanism in the development of colorectal cancer,1
651,Effect of horticultural therapy on mental health: A meta-analysis of randomized controlled trials,1
652,Strengthening Communities: A Qualitative Assessment of Opportunities for the Prevention of Adverse Childhood Experiences in the Wake of the Opioid Crisis,1
653,Clay-polymer nanocomposites: Progress and challenges for use in sustainable water treatment,1
654,A Comparison of Effectiveness of Thai Traditional Massage and Tamsulosin in Lower Urinary Tract Symptoms: A Randomized Controlled Trial,1
655,Comparative Informativity of Computing Methods of Insulin Resistance Assessment,1
656,KV7.1 channel blockade inhibits neonatal renal autoregulation triggered by a step decrease in arterial pressure,1
657,"Removal of heavy metals using a novel sulfidogenic AMD treatment system with sulfur reduction: Configuration, performance, critical parameters and economic analysis",1
658,Acoustic and Kinematic Correlates of Heterosyllabicity in Different Phonological Contexts,0
659,Human Factors and Ergonomics in Healthcare: Industry Demands and a Path Forward,1
660,Tenacibaculosis in Norwegian Atlantic salmon (Salmo salar) cage-farmed in cold sea water is primarily associated with Tenacibaculum finnmarkense genomovar finnmarkense,1
661,Asymmetric impact of energy consumption and economic growth on ecological footprint: Using asymmetric and nonlinear approach,0
662,Evidence-Based Considerations Exploring Relations between SARS-CoV-2 Pandemic and Air Pollution: Involvement of PM2.5-Mediated Up-Regulation of the Viral Receptor ACE-2,1
663,A Novel Quantum Dot-Based pH Probe for Long-Term Fluorescence Lifetime Imaging Microscopy Experiments in Living Cells,1
664,Integrated approach for optimal techno-economic planning for high renewable energy-based isolated microgrid considering cost of energy storage and demand response strategies,0
665,Immunomodulation in the acute phase of autoimmune encephalitis,1
666,Pulmonary vascular resistance and compliance in pulmonary blood flow alterations in children with congenital heart disease,1
667,Melatonin inhibits Gram-negative pathogens by targeting citrate synthase,1
668,Immunogenicity of the COVID-19 Two-Vaccination Series Among Hematologic Malignancies: Report of Three Cases of Breakthrough Infection,1
669,Rainfall intensification increases nitrate leaching from tilled but not no-till cropping systems in the US Midwest,1
670,Microwave Pyrolysis of Macadamia Shells for Efficiently Recycling Lithium from Spent Lithium-ion Batteries,1
671,Are eco-innovation and export diversification mutually exclusive to control carbon emissions in G-7 countries?,1
672,"Dill Shows Potential for Herb-Drug Interactions via Up-Regulation of CYP1A2, CYP2C19, SULT1A1, NAT2 and ABCB1  in Caco-2 Cells",1
673,Menthol in Combination with Iontophoresis Promotes Natamycin Penetration through the Cornea: In Vitro and In Vivo Studies,1
674,Corporate Social Performance and Firm Performance: Comparative Study among Developed and Emerging Market Firms,1
675,Impact of Geographic Distribution of COVID-19 Cases on Hotels' Performances: Case of Polish Cities,1
676,Life cycle costing for plasma gasification of municipal solid waste: A socio-economic approach,0
677,"Assessment and prediction of the water ecological carrying capacity in Changzhou city, China",0
678,Avoiding immediate whole-body trauma CT: a prospective observational study in stable trauma patients,1
679,Systematic literature review of insulin dose adjustments when initiating hemodialysis or peritoneal dialysis,1
680,Pathophysiology of Hemorrhage as It Relates to the Warfighter,1
681,The E3 Ubiquitin Ligase TRAF6 Interacts with the Cellular Prion Protein and Modulates Its Solubility and Recruitment to Cytoplasmic p62/SQSTM1-Positive Aggresome-Like Structures,1
682,Carbon Dots: An Excellent Fluorescent Probe for Contaminant Sensing and Remediation,0
683,Psychological assessment of atopic dermatitis in Asia: a systematic review,1
684,The impact of regional industrial structure differences on carbon emission differences in China: An evolutionary perspective,0
685,The first case report of Strømme syndrome in a Chinese patient: Expanding the phenotype and literature review,1
686,"Nexus between green finance, non-fossil energy use, and carbon intensity: Empirical evidence from China based on a vector error correction model",0
687,Examining the impacts of economic and demographic aspects on the ecological footprint in South and Southeast Asian countries,0
688,Effect of urbanization and international trade on CO2 emissions across 65 belt and road initiative countries,0
689,Age of Acquisition and Spoken Words: Examining Hemispheric Differences in Lexical Processing,1
690,Dynamic modelling and techno-economic analysis of adiabatic compressed air energy storage for emergency back-up power in supporting microgrid,0
691,Does renewable energy technological innovation control China's air pollution? A spatial analysis,0
692,Short-term effect of ambient ozone pollution on respiratory diseases in western China,1
693,Preliminary techno-economic analysis of biodiesel production over solid- biochar,0
694,Analysis on the relationship between fisheries economic growth and marine environmental pollution in China's coastal regions,0
695,Hybrid solar-biomass combined Brayton/organic Rankine-cycle plants integrated with thermal storage: Techno-economic feasibility in selected Mediterranean areas,0
696,A hybrid solar chimney/photovoltaic thermal system for direct electric power production and water distillation,0
697,In vivo genome-editing screen identifies tumor suppressor genes that cooperate with Trp53 loss during mammary tumorigenesis,1
698,A Quantitative Approach for Using Anticipatory Behavior as a Graded Welfare Assessment,1
699,"Long-run causal relationship between economic growth, transport energy consumption and environmental quality in Asian countries: Evidence from heterogeneous panel methods",0
700,"Positively charged nanofiltration membrane synthesis, transport models, and lanthanides separation",1
701,Multi-objective economic dispatch of a microgrid considering electric vehicle and transferable load,1
702,The Dimming of Lights in China during the COVID-19 Pandemic,1
703,NiCo2O4/biomass-derived carbon composites as anode for high-performance lithium ion batteries,1
704,Tracing the Transboundary Transport of Mercury to the Tibetan Plateau Using Atmospheric Mercury Isotopes,1
705,"Synthesis, characterization and in vitro, in vivo, in silico biological evaluations of substituted benzimidazole derivatives",1
706,Cost-optimal economic potential of shared rooftop PV in energy communities: Evidence from Austria,0
707,Biomass ash stabilized MgO adsorbents for CO2 capture application,1
708,Do beliefs in the malleability of well-being affect the efficacy of positive psychology interventions? Results of a randomized placebo-controlled trial,1
709,Understanding access to healthcare for gender diverse young people: a critical review of the literature,1
710,Using Protection Motivation Theory to Predict Adherence to COVID-19 Behavioral Guidelines,1
711,Improving vaccination rates in older adults and at-risk groups: focus on pertussis,1
712,Mental Health and its Influencing Factors Among Immigrants with Chronic Diseases in China,1
713,"Combined biomass gasification, SOFC, IC engine, and waste heat recovery system for power and heat generation: Energy, exergy, exergoeconomic, environmental (4E) evaluations",1
714,Flexural behavior of glass fiber-reinforced recycled aggregate concrete and its impact on the cost and carbon footprint of concrete pavement,0
715,"Globalization and carbon emissions: Is there any role of agriculture value-added, financial development, and natural resource rent in the aftermath of COP21?",1
716,Techno-economic analysis of coke oven gas and blast furnace gas to methanol process with carbon dioxide capture and utilization,0
717,Does environmental decentralization exacerbate China's carbon emissions? Evidence based on dynamic threshold effect analysis,1
718,Dynamic energy conversion and management strategy for an integrated electricity and natural gas system with renewable energy: Deep reinforcement learning approach,0
719,Adenosine signaling mediate pain transmission in the central nervous system,1
720,Poisoning due to consumption of horse chestnut seed,1
721,Comprehensive techno-economic and environmental sensitivity analysis and multi-objective optimization of a novel heat and power system for natural gas city gate stations,0
722,"Chinese photovoltaic poverty alleviation: Geographic distribution, economic benefits and emission mitigation",1
723,Simultaneous adsorption and oxidation of antimonite onto nano zero-valent iron sludge-based biochar: Indispensable role of reactive oxygen species and redox-active moieties,1
724,Introducing a hybrid renewable energy system for production of power and fresh water using parabolic trough solar collectors and LNG cold energy recovery,0
725,Bacterial Community of Galchi-Baechu Kimchi Based on Culture-Dependent and - Independent Investigation and Selection of Starter Candidates,1
726,Fate of thiamethoxam from treated seeds in mesocosms and response of aquatic invertebrate communities,1
727,"Recycling flowback water for hydraulic fracturing in Sichuan Basin, China: Implications for gas production, water footprint, and water quality of regenerated flowback water",1
728,Evaluation of ozonation applicability to pulp and paper streams for a sustainable wastewater treatment,0
729,Understanding spatial-temporal evolution of renewable energy technology innovation in China: Evidence from convergence analysis,1
730,Asymmetric impact of renewable and non-renewable energy on economic growth in Pakistan: New evidence from a nonlinear analysis,1
731,Multi-Faceted Analysis of Systematic Risk-Based Wind Energy Investment Decisions in E7 Economies Using Modified Hybrid Modeling with IT2 Fuzzy Sets,1
732,COVID-19 Pandemic-Related Arguments in Polish Civil Litigation,1
733,Alkali metals association in biomass and their impact on ash melting behaviour,1
734,Coupling coordination analysis of urbanization and eco-environment in Yanqi Basin based on multi-source remote sensing data,0
735,Hsa_circ_0003288 facilitates tumor progression by targeting miR-145 in non-small cell lung cancer cells,1
736,Blockade of α2-Adrenergic Receptors Inhibits Functional Parameters of Langendorff-Isolated Rat Heart,1
737,Evidence-based strategies to reduce the incidence of postoperative delirium: a narrative review,1
738,Testicular torsions in veterinary medicine,1
739,Immunological effect of Moringa Oleifera leaf extract on vaccinated and non-vaccinated Hubbard chickens experimentally infected with Newcastle virus,1
740,Diagnosis and management of acute coronary syndromes,1
741,Assessment of sustainability indicators for green building manufacturing using fuzzy multi-criteria decision making approach,0
742,A comparison of steam and oxygen fed biomass gasification through a techno-economic-environmental study,0
743,Association of dietary patterns with obesity and metabolically healthy obesity phenotype in Chinese population: a cross-sectional analysis of China Multi-Ethnic Cohort Study,1
744,Comprehensive evaluation of national electric power development based on cloud model and entropy method and TOPSIS: A case study in 11 countries,0
745,Differential Effect of Non-Purified and Semi-Purified Standard Diets on Kynurenine and Peripheral Metabolites in Male C57BL/6J Mice,1
746,Formulation and development of novel control release transdermal patches of carvedilol to improve bioavailability for the treatment of heart failure,1
747,"Epidemiologic Trends, Social Determinants, and Brain Health: The Role of Life Course Inequalities",1
748,"Mould growth in energy efficient buildings: Causes, health implications and strategies to mitigate the risk",0
749,Quality Management of Prehospital Pediatric Respiratory Distress and Airway Programs: An NAEMSP Position Statement and Resource Document,1
750,"Financial development, income inequality and carbon emissions in sub-Saharan African countries: A panel data analysis",0
